timestamp,SettlementPoint,SettlementPointPrice
2025-12-03 12:00:00,HB_HOUSTON,28.31
2025-12-03 13:00:00,LZ_WEST,26.88
2025-12-03 13:00:00,LZ_NORTH,25.07
2025-12-03 13:00:00,LZ_HOUSTON,28.66
2025-12-03 13:00:00,HB_WEST,25.55
2025-12-03 13:00:00,LZ_SOUTH,39.18
2025-12-03 13:00:00,HB_NORTH,24.43
2025-12-03 13:00:00,HB_HOUSTON,28.24
2025-12-03 13:00:00,HB_SOUTH,38.53
2025-12-03 14:00:00,HB_HOUSTON,27.61
2025-12-03 14:00:00,HB_NORTH,25.0
2025-12-03 14:00:00,HB_SOUTH,37.23
2025-12-03 14:00:00,HB_WEST,26.2
2025-12-03 14:00:00,LZ_HOUSTON,27.89
2025-12-03 14:00:00,LZ_NORTH,25.4
2025-12-03 14:00:00,LZ_WEST,27.53
2025-12-03 14:00:00,LZ_SOUTH,38.22
2025-12-03 15:00:00,LZ_SOUTH,37.45
2025-12-03 15:00:00,HB_WEST,25.93
2025-12-03 15:00:00,LZ_WEST,27.45
2025-12-03 15:00:00,LZ_NORTH,25.14
2025-12-03 15:00:00,LZ_HOUSTON,28.2
2025-12-03 15:00:00,HB_SOUTH,36.58
2025-12-03 15:00:00,HB_HOUSTON,27.92
2025-12-03 15:00:00,HB_NORTH,24.9
2025-12-03 16:00:00,HB_HOUSTON,30.65
2025-12-03 16:00:00,HB_NORTH,29.1
2025-12-03 16:00:00,HB_SOUTH,38.87
2025-12-03 16:00:00,HB_WEST,30.71
2025-12-03 16:00:00,LZ_HOUSTON,30.83
2025-12-03 16:00:00,LZ_NORTH,29.22
2025-12-03 16:00:00,LZ_SOUTH,39.64
2025-12-03 16:00:00,LZ_WEST,32.85
2025-12-03 17:00:00,LZ_HOUSTON,40.53
2025-12-03 17:00:00,LZ_NORTH,41.11
2025-12-03 17:00:00,LZ_WEST,51.32
2025-12-03 17:00:00,HB_WEST,45.46
2025-12-03 17:00:00,LZ_SOUTH,53.03
2025-12-03 17:00:00,HB_NORTH,40.96
2025-12-03 17:00:00,HB_HOUSTON,40.47
2025-12-03 17:00:00,HB_SOUTH,51.92
2025-12-03 18:00:00,LZ_SOUTH,58.4
2025-12-03 18:00:00,LZ_NORTH,45.08
2025-12-03 18:00:00,LZ_WEST,64.86
2025-12-03 18:00:00,LZ_HOUSTON,45.17
2025-12-03 18:00:00,HB_WEST,53.86
2025-12-03 18:00:00,HB_NORTH,44.94
2025-12-03 18:00:00,HB_HOUSTON,45.09
2025-12-03 18:00:00,HB_SOUTH,57.26
2025-12-03 19:00:00,HB_HOUSTON,45.07
2025-12-03 19:00:00,HB_NORTH,41.86
2025-12-03 19:00:00,HB_SOUTH,57.41
2025-12-03 19:00:00,HB_WEST,50.91
2025-12-03 19:00:00,LZ_HOUSTON,45.3
2025-12-03 19:00:00,LZ_NORTH,41.92
2025-12-03 19:00:00,LZ_SOUTH,57.41
2025-12-03 19:00:00,LZ_WEST,67.94
2025-12-03 20:00:00,LZ_WEST,62.31
2025-12-03 20:00:00,LZ_NORTH,34.44
2025-12-03 20:00:00,LZ_HOUSTON,41.45
2025-12-03 20:00:00,HB_WEST,41.15
2025-12-03 20:00:00,LZ_SOUTH,56.34
2025-12-03 20:00:00,HB_NORTH,34.53
2025-12-03 20:00:00,HB_HOUSTON,41.0
2025-12-03 20:00:00,HB_SOUTH,56.41
2025-12-03 21:00:00,LZ_WEST,53.7
2025-12-03 21:00:00,LZ_NORTH,30.62
2025-12-03 21:00:00,LZ_HOUSTON,37.58
2025-12-03 21:00:00,HB_WEST,31.45
2025-12-03 21:00:00,LZ_SOUTH,49.64
2025-12-03 21:00:00,HB_NORTH,31.06
2025-12-03 21:00:00,HB_HOUSTON,37.15
2025-12-03 21:00:00,HB_SOUTH,49.44
2025-12-03 22:00:00,HB_HOUSTON,29.87
2025-12-03 22:00:00,HB_NORTH,27.95
2025-12-03 22:00:00,HB_SOUTH,40.95
2025-12-03 22:00:00,HB_WEST,25.55
2025-12-03 22:00:00,LZ_HOUSTON,30.05
2025-12-03 22:00:00,LZ_NORTH,26.89
2025-12-03 22:00:00,LZ_SOUTH,40.96
2025-12-03 22:00:00,LZ_WEST,48.4
2025-12-03 23:00:00,LZ_HOUSTON,30.23
2025-12-03 23:00:00,LZ_NORTH,28.93
2025-12-03 23:00:00,LZ_SOUTH,40.01
2025-12-03 23:00:00,HB_WEST,24.45
2025-12-03 23:00:00,LZ_WEST,45.24
2025-12-03 23:00:00,HB_NORTH,30.61
2025-12-03 23:00:00,HB_HOUSTON,30.18
2025-12-03 23:00:00,HB_SOUTH,40.02
2025-12-04 00:00:00,HB_SOUTH,37.24
2025-12-04 00:00:00,HB_WEST,23.8
2025-12-04 00:00:00,HB_NORTH,28.41
2025-12-04 00:00:00,LZ_SOUTH,37.26
2025-12-04 00:00:00,LZ_HOUSTON,29.38
2025-12-04 00:00:00,LZ_WEST,46.71
2025-12-04 00:00:00,HB_HOUSTON,29.27
2025-12-04 00:00:00,LZ_NORTH,26.62
2025-12-04 01:00:00,HB_NORTH,22.41
2025-12-04 01:00:00,HB_HOUSTON,24.37
2025-12-04 01:00:00,HB_SOUTH,29.21
2025-12-04 01:00:00,HB_WEST,24.94
2025-12-04 01:00:00,LZ_HOUSTON,24.58
2025-12-04 01:00:00,LZ_NORTH,20.95
2025-12-04 01:00:00,LZ_SOUTH,29.63
2025-12-04 01:00:00,LZ_WEST,49.67
2025-12-04 02:00:00,LZ_WEST,48.41
2025-12-04 02:00:00,LZ_NORTH,21.49
2025-12-04 02:00:00,LZ_HOUSTON,24.39
2025-12-04 02:00:00,LZ_SOUTH,28.54
2025-12-04 02:00:00,HB_SOUTH,27.98
2025-12-04 02:00:00,HB_NORTH,23.02
2025-12-04 02:00:00,HB_HOUSTON,24.24
2025-12-04 02:00:00,HB_WEST,25.13
2025-12-04 03:00:00,HB_HOUSTON,24.46
2025-12-04 03:00:00,HB_NORTH,23.86
2025-12-04 03:00:00,HB_SOUTH,27.2
2025-12-04 03:00:00,HB_WEST,25.04
2025-12-04 03:00:00,LZ_HOUSTON,24.57
2025-12-04 03:00:00,LZ_NORTH,22.42
2025-12-04 03:00:00,LZ_SOUTH,27.79
2025-12-04 03:00:00,LZ_WEST,45.36
2025-12-04 04:00:00,LZ_NORTH,23.13
2025-12-04 04:00:00,LZ_WEST,44.52
2025-12-04 04:00:00,LZ_SOUTH,27.94
2025-12-04 04:00:00,LZ_HOUSTON,24.87
2025-12-04 04:00:00,HB_SOUTH,27.23
2025-12-04 04:00:00,HB_NORTH,24.36
2025-12-04 04:00:00,HB_HOUSTON,24.79
2025-12-04 04:00:00,HB_WEST,25.87
2025-12-04 05:00:00,LZ_SOUTH,29.18
2025-12-04 05:00:00,HB_HOUSTON,24.74
2025-12-04 05:00:00,HB_NORTH,23.87
2025-12-04 05:00:00,HB_SOUTH,28.05
2025-12-04 05:00:00,HB_WEST,27.7
2025-12-04 05:00:00,LZ_HOUSTON,24.86
2025-12-04 05:00:00,LZ_NORTH,23.09
2025-12-04 05:00:00,LZ_WEST,44.85
2025-12-04 06:00:00,LZ_SOUTH,34.32
2025-12-04 06:00:00,LZ_NORTH,28.66
2025-12-04 06:00:00,LZ_HOUSTON,29.52
2025-12-04 06:00:00,HB_HOUSTON,29.45
2025-12-04 06:00:00,HB_SOUTH,33.02
2025-12-04 06:00:00,HB_NORTH,28.93
2025-12-04 06:00:00,LZ_WEST,49.71
2025-12-04 06:00:00,HB_WEST,34.74
2025-12-04 07:00:00,LZ_SOUTH,42.15
2025-12-04 07:00:00,LZ_NORTH,31.99
2025-12-04 07:00:00,LZ_WEST,48.86
2025-12-04 07:00:00,LZ_HOUSTON,34.31
2025-12-04 07:00:00,HB_HOUSTON,34.08
2025-12-04 07:00:00,HB_SOUTH,41.06
2025-12-04 07:00:00,HB_NORTH,31.9
2025-12-04 07:00:00,HB_WEST,38.06
2025-12-04 08:00:00,HB_HOUSTON,36.96
2025-12-04 08:00:00,HB_NORTH,37.48
2025-12-04 08:00:00,HB_SOUTH,45.85
2025-12-04 08:00:00,HB_WEST,43.44
2025-12-04 08:00:00,LZ_HOUSTON,37.02
2025-12-04 08:00:00,LZ_NORTH,37.58
2025-12-04 08:00:00,LZ_SOUTH,46.24
2025-12-04 08:00:00,LZ_WEST,52.94
2025-12-04 09:00:00,LZ_WEST,53.59
2025-12-04 09:00:00,LZ_SOUTH,51.72
2025-12-04 09:00:00,LZ_NORTH,43.7
2025-12-04 09:00:00,LZ_HOUSTON,40.75
2025-12-04 09:00:00,HB_HOUSTON,40.83
2025-12-04 09:00:00,HB_SOUTH,50.25
2025-12-04 09:00:00,HB_NORTH,43.4
2025-12-04 09:00:00,HB_WEST,47.59
2025-12-04 10:00:00,LZ_WEST,62.81
2025-12-04 10:00:00,LZ_SOUTH,60.68
2025-12-04 10:00:00,LZ_NORTH,53.99
2025-12-04 10:00:00,LZ_HOUSTON,47.81
2025-12-04 10:00:00,HB_SOUTH,59.11
2025-12-04 10:00:00,HB_NORTH,53.33
2025-12-04 10:00:00,HB_HOUSTON,48.08
2025-12-04 10:00:00,HB_WEST,57.45
2025-12-04 11:00:00,LZ_WEST,58.21
2025-12-04 11:00:00,LZ_NORTH,51.39
2025-12-04 11:00:00,LZ_HOUSTON,45.72
2025-12-04 11:00:00,LZ_SOUTH,58.57
2025-12-04 11:00:00,HB_SOUTH,57.39
2025-12-04 11:00:00,HB_NORTH,50.54
2025-12-04 11:00:00,HB_HOUSTON,45.9
2025-12-04 11:00:00,HB_WEST,54.45
2025-12-04 12:00:00,LZ_SOUTH,59.57
2025-12-04 12:00:00,HB_HOUSTON,48.04
2025-12-04 12:00:00,HB_NORTH,55.14
2025-12-04 12:00:00,HB_SOUTH,59.21
2025-12-04 12:00:00,HB_WEST,58.65
2025-12-04 12:00:00,LZ_HOUSTON,47.71
2025-12-04 12:00:00,LZ_NORTH,56.11
2025-12-04 12:00:00,LZ_WEST,61.67
2025-12-04 13:00:00,HB_HOUSTON,48.48
2025-12-04 13:00:00,HB_SOUTH,58.5
2025-12-04 13:00:00,HB_WEST,59.61
2025-12-04 13:00:00,LZ_HOUSTON,48.21
2025-12-04 13:00:00,LZ_NORTH,57.0
2025-12-04 13:00:00,LZ_SOUTH,56.89
2025-12-04 13:00:00,LZ_WEST,62.89
2025-12-04 13:00:00,HB_NORTH,54.89
2025-12-04 14:00:00,LZ_WEST,64.59
2025-12-04 14:00:00,LZ_NORTH,58.28
2025-12-04 14:00:00,LZ_HOUSTON,46.58
2025-12-04 14:00:00,LZ_SOUTH,53.04
2025-12-04 14:00:00,HB_SOUTH,58.61
2025-12-04 14:00:00,HB_NORTH,56.47
2025-12-04 14:00:00,HB_HOUSTON,46.98
2025-12-04 14:00:00,HB_WEST,61.55
2025-12-04 15:00:00,HB_HOUSTON,47.2
2025-12-04 15:00:00,HB_NORTH,58.16
2025-12-04 15:00:00,HB_SOUTH,58.71
2025-12-04 15:00:00,HB_WEST,64.01
2025-12-04 15:00:00,LZ_HOUSTON,46.77
2025-12-04 15:00:00,LZ_NORTH,58.97
2025-12-04 15:00:00,LZ_SOUTH,48.58
2025-12-04 15:00:00,LZ_WEST,67.45
2025-12-04 16:00:00,LZ_SOUTH,51.25
2025-12-04 16:00:00,LZ_WEST,81.48
2025-12-04 16:00:00,LZ_NORTH,69.51
2025-12-04 16:00:00,HB_SOUTH,67.28
2025-12-04 16:00:00,HB_WEST,76.71
2025-12-04 16:00:00,HB_HOUSTON,51.46
2025-12-04 16:00:00,HB_NORTH,68.41
2025-12-04 16:00:00,LZ_HOUSTON,50.78
2025-12-04 17:00:00,HB_HOUSTON,53.98
2025-12-04 17:00:00,HB_NORTH,76.26
2025-12-04 17:00:00,HB_SOUTH,78.6
2025-12-04 17:00:00,HB_WEST,89.15
2025-12-04 17:00:00,LZ_HOUSTON,53.07
2025-12-04 17:00:00,LZ_NORTH,79.03
2025-12-04 17:00:00,LZ_SOUTH,57.61
2025-12-04 17:00:00,LZ_WEST,95.12
2025-12-04 18:00:00,LZ_WEST,133.37
2025-12-04 18:00:00,LZ_SOUTH,78.92
2025-12-04 18:00:00,LZ_NORTH,105.51
2025-12-04 18:00:00,HB_HOUSTON,66.73
2025-12-04 18:00:00,HB_WEST,123.68
2025-12-04 18:00:00,HB_SOUTH,107.18
2025-12-04 18:00:00,HB_NORTH,102.42
2025-12-04 18:00:00,LZ_HOUSTON,65.3
2025-12-04 19:00:00,LZ_WEST,138.86
2025-12-04 19:00:00,LZ_SOUTH,74.87
2025-12-04 19:00:00,LZ_NORTH,104.49
2025-12-04 19:00:00,HB_NORTH,101.05
2025-12-04 19:00:00,HB_WEST,126.82
2025-12-04 19:00:00,HB_SOUTH,104.4
2025-12-04 19:00:00,HB_HOUSTON,59.82
2025-12-04 19:00:00,LZ_HOUSTON,58.03
2025-12-04 20:00:00,HB_HOUSTON,63.41
2025-12-04 20:00:00,HB_NORTH,106.64
2025-12-04 20:00:00,HB_SOUTH,117.45
2025-12-04 20:00:00,HB_WEST,132.7
2025-12-04 20:00:00,LZ_HOUSTON,61.53
2025-12-04 20:00:00,LZ_NORTH,110.14
2025-12-04 20:00:00,LZ_SOUTH,88.31
2025-12-04 20:00:00,LZ_WEST,145.43
2025-12-04 21:00:00,LZ_WEST,144.75
2025-12-04 21:00:00,LZ_SOUTH,91.39
2025-12-04 21:00:00,LZ_NORTH,106.55
2025-12-04 21:00:00,HB_HOUSTON,61.26
2025-12-04 21:00:00,HB_WEST,130.86
2025-12-04 21:00:00,HB_SOUTH,118.8
2025-12-04 21:00:00,HB_NORTH,103.05
2025-12-04 21:00:00,LZ_HOUSTON,59.38
2025-12-04 22:00:00,LZ_WEST,144.02
2025-12-04 22:00:00,LZ_SOUTH,93.97
2025-12-04 22:00:00,LZ_NORTH,101.62
2025-12-04 22:00:00,HB_SOUTH,116.9
2025-12-04 22:00:00,HB_WEST,128.42
2025-12-04 22:00:00,HB_NORTH,100.14
2025-12-04 22:00:00,HB_HOUSTON,59.93
2025-12-04 22:00:00,LZ_HOUSTON,58.14
2025-12-04 23:00:00,LZ_WEST,134.37
2025-12-04 23:00:00,LZ_NORTH,99.66
2025-12-04 23:00:00,LZ_HOUSTON,59.98
2025-12-04 23:00:00,LZ_SOUTH,92.59
2025-12-04 23:00:00,HB_SOUTH,112.88
2025-12-04 23:00:00,HB_NORTH,98.89
2025-12-04 23:00:00,HB_HOUSTON,61.71
2025-12-04 23:00:00,HB_WEST,121.73
2025-12-05 00:00:00,HB_HOUSTON,57.77
2025-12-05 00:00:00,HB_NORTH,79.94
2025-12-05 00:00:00,HB_SOUTH,86.29
2025-12-05 00:00:00,HB_WEST,101.25
2025-12-05 00:00:00,LZ_HOUSTON,56.67
2025-12-05 00:00:00,LZ_NORTH,80.38
2025-12-05 00:00:00,LZ_SOUTH,74.06
2025-12-05 00:00:00,LZ_WEST,113.72
